年度學期,星期,小時,時間區間,平均功率_kW,星期六基礎功率_kW,扣除基礎後功率_kW
114-1,星期三,13,13:00~14:00,117.08466666666668,24.340769230769236,92.74389743589744
114-1,星期三,14,14:00~15:00,119.35933333333332,19.536666666666665,99.82266666666666
114-1,星期三,15,15:00~16:00,118.85266666666666,19.8475,99.00516666666667
114-1,星期三,16,16:00~17:00,108.70933333333332,19.245833333333334,89.46349999999998
114-1,星期三,17,17:00~18:00,85.66399999999999,14.853846153846156,70.81015384615384
114-1,星期四,7,07:00~08:00,32.13357142857142,14.011538461538462,18.122032967032958
114-1,星期四,8,08:00~09:00,42.035714285714285,18.14538461538461,23.890329670329674
114-1,星期四,9,09:00~10:00,87.95857142857143,23.468461538461536,64.49010989010989
114-1,星期四,10,10:00~11:00,117.30071428571428,24.26384615384615,93.03686813186813
114-1,星期四,11,11:00~12:00,126.53357142857143,29.70384615384615,96.82972527472529
114-1,星期四,12,12:00~13:00,121.80642857142855,31.11,90.69642857142856
114-1,星期四,13,13:00~14:00,116.67642857142856,24.340769230769236,92.33565934065932
114-1,星期四,14,14:00~15:00,131.80066666666664,19.536666666666665,112.26399999999998
114-1,星期四,15,15:00~16:00,127.89466666666668,19.8475,108.04716666666668
114-1,星期四,16,16:00~17:00,124.20266666666669,19.245833333333334,104.95683333333335
114-1,星期四,17,17:00~18:00,100.7726666666667,14.853846153846156,85.91882051282053
114-1,星期五,7,07:00~08:00,25.33928571428571,14.011538461538462,11.32774725274725
114-1,星期五,8,08:00~09:00,39.750714285714295,18.14538461538461,21.605329670329684
114-1,星期五,9,09:00~10:00,67.33214285714287,23.468461538461536,43.86368131868133
114-1,星期五,10,10:00~11:00,77.014,24.26384615384615,52.75015384615385
114-1,星期五,11,11:00~12:00,84.38933333333333,29.70384615384615,54.685487179487176
114-1,星期五,12,12:00~13:00,90.91,31.11,59.8
114-1,星期五,13,13:00~14:00,80.40466666666666,24.340769230769236,56.06389743589742
114-1,星期五,14,14:00~15:00,92.36533333333334,19.536666666666665,72.82866666666668
114-1,星期五,15,15:00~16:00,96.58666666666666,19.8475,76.73916666666666
114-1,星期五,16,16:00~17:00,87.02933333333334,19.245833333333334,67.7835
114-1,星期五,17,17:00~18:00,66.62333333333335,14.853846153846156,51.76948717948719
114-2,星期一,7,07:00~08:00,10.801666666666668,10.065714285714288,0.73595238095238
114-2,星期一,8,08:00~09:00,21.777142857142856,9.627142857142855,12.15
114-2,星期一,9,09:00~10:00,46.33142857142857,10.578571428571433,35.75285714285714
114-2,星期一,10,10:00~11:00,46.88857142857143,10.781666666666666,36.106904761904765
114-2,星期一,11,11:00~12:00,56.97714285714286,16.774285714285718,40.20285714285714
114-2,星期一,12,12:00~13:00,60.32714285714285,13.773333333333335,46.55380952380952
114-2,星期一,13,13:00~14:00,52.94,10.434,42.506
114-2,星期一,14,14:00~15:00,63.34571428571428,9.276,54.069714285714284
114-2,星期一,15,15:00~16:00,63.68714285714286,9.11,54.57714285714286
114-2,星期一,16,16:00~17:00,61.54,9.2,52.34
114-2,星期一,17,17:00~18:00,40.29285714285714,8.795,31.497857142857136
114-2,星期二,7,07:00~08:00,11.545714285714284,10.065714285714288,1.4799999999999969
114-2,星期二,8,08:00~09:00,27.433333333333334,9.627142857142855,17.80619047619048
114-2,星期二,9,09:00~10:00,45.40166666666666,10.578571428571433,34.82309523809522
114-2,星期二,10,10:00~11:00,56.488,10.781666666666666,45.70633333333333
114-2,星期二,11,11:00~12:00,59.96833333333333,16.774285714285718,43.19404761904761
114-2,星期二,12,12:00~13:00,63.99166666666667,13.773333333333335,50.218333333333334
114-2,星期二,13,13:00~14:00,62.30166666666668,10.434,51.86766666666668
114-2,星期二,14,14:00~15:00,66.54,9.276,57.26400000000001
114-2,星期二,15,15:00~16:00,62.34,9.11,53.230000000000004
114-2,星期二,16,16:00~17:00,68.73666666666668,9.2,59.536666666666676
114-2,星期二,17,17:00~18:00,37.89666666666667,8.795,29.101666666666667
114-2,星期三,7,07:00~08:00,11.125,10.065714285714288,1.0592857142857124
114-2,星期三,8,08:00~09:00,37.415,9.627142857142855,27.787857142857142
114-2,星期三,9,09:00~10:00,50.278333333333336,10.578571428571433,39.6997619047619
114-2,星期三,10,10:00~11:00,51.15166666666667,10.781666666666666,40.370000000000005
114-2,星期三,11,11:00~12:00,57.25166666666667,16.774285714285718,40.477380952380955
114-2,星期三,12,12:00~13:00,58.16166666666667,13.773333333333335,44.388333333333335
114-2,星期三,13,13:00~14:00,54.71833333333333,10.434,44.28433333333333
114-2,星期三,14,14:00~15:00,57.67166666666666,9.276,48.395666666666656
114-2,星期三,15,15:00~16:00,57.24000000000001,9.11,48.13000000000001
114-2,星期三,16,16:00~17:00,57.98833333333332,9.2,48.78833333333333
114-2,星期三,17,17:00~18:00,33.27,8.795,24.475
114-2,星期四,7,07:00~08:00,10.998571428571427,10.065714285714288,0.9328571428571397
114-2,星期四,8,08:00~09:00,28.67142857142857,9.627142857142855,19.044285714285714
114-2,星期四,9,09:00~10:00,51.41571428571428,10.578571428571433,40.83714285714285
114-2,星期四,10,10:00~11:00,54.27166666666667,10.781666666666666,43.49
114-2,星期四,11,11:00~12:00,58.72333333333333,16.774285714285718,41.94904761904761
114-2,星期四,12,12:00~13:00,59.81666666666666,13.773333333333335,46.04333333333333
