年度學期,星期,小時,時間區間,平均功率_kW
113-2,星期五,3,03:00~04:00,12.909230769230769
113-2,星期五,4,04:00~05:00,12.297692307692309
113-2,星期五,5,05:00~06:00,12.82
113-2,星期五,6,06:00~07:00,11.670714285714284
113-2,星期五,7,07:00~08:00,12.510714285714286
113-2,星期五,8,08:00~09:00,38.050000000000004
113-2,星期五,9,09:00~10:00,56.82071428571429
113-2,星期五,10,10:00~11:00,64.43928571428572
113-2,星期五,11,11:00~12:00,75.63214285714285
113-2,星期五,12,12:00~13:00,74.54642857142858
113-2,星期五,13,13:00~14:00,74.21000000000001
113-2,星期五,14,14:00~15:00,77.39642857142857
113-2,星期五,15,15:00~16:00,77.61571428571428
113-2,星期五,16,16:00~17:00,63.86846153846154
113-2,星期五,17,17:00~18:00,64.78071428571427
113-2,星期五,18,18:00~19:00,23.28384615384615
113-2,星期五,19,19:00~20:00,24.274615384615387
113-2,星期五,20,20:00~21:00,25.704285714285714
113-2,星期五,21,21:00~22:00,20.596153846153847
113-2,星期五,22,22:00~23:00,16.292307692307695
113-2,星期五,23,23:00~24:00,11.845833333333333
113-2,星期六,0,00:00~01:00,14.547692307692305
113-2,星期六,1,01:00~02:00,13.376153846153848
113-2,星期六,2,02:00~03:00,13.03
113-2,星期六,3,03:00~04:00,13.180000000000003
113-2,星期六,4,04:00~05:00,13.086153846153849
113-2,星期六,5,05:00~06:00,13.202307692307691
113-2,星期六,6,06:00~07:00,11.607692307692307
113-2,星期六,7,07:00~08:00,10.49923076923077
113-2,星期六,8,08:00~09:00,16.50769230769231
113-2,星期六,9,09:00~10:00,15.522307692307692
113-2,星期六,10,10:00~11:00,20.720000000000002
113-2,星期六,11,11:00~12:00,28.74692307692308
113-2,星期六,12,12:00~13:00,46.06285714285715
113-2,星期六,13,13:00~14:00,31.21461538461538
113-2,星期六,14,14:00~15:00,17.031666666666666
113-2,星期六,15,15:00~16:00,15.089166666666666
113-2,星期六,16,16:00~17:00,19.32076923076923
113-2,星期六,17,17:00~18:00,15.033846153846152
113-2,星期六,18,18:00~19:00,11.168461538461539
113-2,星期六,19,19:00~20:00,11.3
113-2,星期六,20,20:00~21:00,11.090000000000002
113-2,星期六,21,21:00~22:00,11.187692307692307
113-2,星期六,22,22:00~23:00,11.534999999999998
113-2,星期六,23,23:00~24:00,11.532499999999999
113-2,星期日,0,00:00~01:00,12.110000000000001
113-2,星期日,1,01:00~02:00,12.982857142857142
113-2,星期日,2,02:00~03:00,12.629230769230768
113-2,星期日,3,03:00~04:00,12.793571428571429
113-2,星期日,4,04:00~05:00,12.72642857142857
113-2,星期日,5,05:00~06:00,12.321538461538463
113-2,星期日,6,06:00~07:00,11.212307692307693
113-2,星期日,7,07:00~08:00,11.139166666666666
113-2,星期日,8,08:00~09:00,36.94357142857143
113-2,星期日,9,09:00~10:00,34.30076923076923
113-2,星期日,10,10:00~11:00,36.197692307692314
113-2,星期日,11,11:00~12:00,36.74923076923078
113-2,星期日,12,12:00~13:00,35.03692307692308
113-2,星期日,13,13:00~14:00,15.992500000000001
113-2,星期日,14,14:00~15:00,17.146153846153844
113-2,星期日,15,15:00~16:00,16.75
113-2,星期日,16,16:00~17:00,16.52615384615385
113-2,星期日,17,17:00~18:00,13.163846153846153
113-2,星期日,18,18:00~19:00,10.971538461538463
113-2,星期日,19,19:00~20:00,11.37923076923077
113-2,星期日,20,20:00~21:00,11.288461538461538
113-2,星期日,21,21:00~22:00,12.694615384615386
113-2,星期日,22,22:00~23:00,11.662307692307694
113-2,星期日,23,23:00~24:00,11.525384615384613
114-1,星期一,0,00:00~01:00,14.457142857142856
114-1,星期一,1,01:00~02:00,13.179285714285715
114-1,星期一,2,02:00~03:00,13.049285714285714
114-1,星期一,3,03:00~04:00,12.492142857142856
114-1,星期一,4,04:00~05:00,12.547857142857142
114-1,星期一,5,05:00~06:00,12.882142857142856
114-1,星期一,6,06:00~07:00,12.94857142857143
114-1,星期一,7,07:00~08:00,27.014666666666667
114-1,星期一,8,08:00~09:00,31.927333333333333
114-1,星期一,9,09:00~10:00,65.51799999999999
114-1,星期一,10,10:00~11:00,83.47599999999998
114-1,星期一,11,11:00~12:00,86.95800000000003
114-1,星期一,12,12:00~13:00,87.90866666666668
114-1,星期一,13,13:00~14:00,92.48
114-1,星期一,14,14:00~15:00,98.58333333333333
114-1,星期一,15,15:00~16:00,102.53266666666669
114-1,星期一,16,16:00~17:00,95.654
114-1,星期一,17,17:00~18:00,82.016
114-1,星期一,18,18:00~19:00,56.78200000000001
114-1,星期一,19,19:00~20:00,57.03285714285714
114-1,星期一,20,20:00~21:00,46.268571428571434
114-1,星期一,21,21:00~22:00,43.237142857142864
114-1,星期一,22,22:00~23:00,21.471333333333337
114-1,星期一,23,23:00~24:00,12.066428571428574
114-1,星期二,0,00:00~01:00,13.422857142857143
114-1,星期二,1,01:00~02:00,13.817857142857145
114-1,星期二,2,02:00~03:00,12.632142857142854
114-1,星期二,3,03:00~04:00,13.680714285714284
114-1,星期二,4,04:00~05:00,12.802857142857146
114-1,星期二,5,05:00~06:00,14.452142857142857
114-1,星期二,6,06:00~07:00,14.440000000000001
114-1,星期二,7,07:00~08:00,34.56466666666667
114-1,星期二,8,08:00~09:00,34.916666666666664
114-1,星期二,9,09:00~10:00,82.98733333333331
114-1,星期二,10,10:00~11:00,111.19533333333335
114-1,星期二,11,11:00~12:00,117.152
114-1,星期二,12,12:00~13:00,114.91066666666664
114-1,星期二,13,13:00~14:00,115.77533333333332
114-1,星期二,14,14:00~15:00,125.08199999999998
114-1,星期二,15,15:00~16:00,124.88333333333334
114-1,星期二,16,16:00~17:00,119.30733333333332
114-1,星期二,17,17:00~18:00,103.71600000000002
114-1,星期二,18,18:00~19:00,83.03933333333333
114-1,星期二,19,19:00~20:00,103.22000000000001
114-1,星期二,20,20:00~21:00,94.18733333333334
114-1,星期二,21,21:00~22:00,87.01199999999999
114-1,星期二,22,22:00~23:00,13.43142857142857
114-1,星期二,23,23:00~24:00,11.733076923076924
114-1,星期三,0,00:00~01:00,12.974615384615383
114-1,星期三,1,01:00~02:00,13.513076923076925
114-1,星期三,2,02:00~03:00,13.448461538461542
114-1,星期三,3,03:00~04:00,12.840000000000002
114-1,星期三,4,04:00~05:00,12.12769230769231
114-1,星期三,5,05:00~06:00,13.845384615384619
114-1,星期三,6,06:00~07:00,14.75642857142857
114-1,星期三,7,07:00~08:00,34.165333333333336
114-1,星期三,8,08:00~09:00,37.27466666666667
114-1,星期三,9,09:00~10:00,79.87866666666667
114-1,星期三,10,10:00~11:00,108.87866666666667
114-1,星期三,11,11:00~12:00,125.14933333333335
114-1,星期三,12,12:00~13:00,123.22933333333334
114-1,星期三,13,13:00~14:00,117.08466666666668
114-1,星期三,14,14:00~15:00,119.35933333333331
114-1,星期三,15,15:00~16:00,118.85266666666666
114-1,星期三,16,16:00~17:00,108.70933333333332
114-1,星期三,17,17:00~18:00,85.66399999999999
114-1,星期三,18,18:00~19:00,77.40533333333333
114-1,星期三,19,19:00~20:00,102.364
114-1,星期三,20,20:00~21:00,93.29133333333334
114-1,星期三,21,21:00~22:00,85.33999999999999
114-1,星期三,22,22:00~23:00,13.513571428571428
114-1,星期三,23,23:00~24:00,12.004615384615384
114-1,星期四,0,00:00~01:00,14.076923076923077
114-1,星期四,1,01:00~02:00,17.345714285714287
114-1,星期四,2,02:00~03:00,13.478333333333333
114-1,星期四,3,03:00~04:00,13.280833333333334
114-1,星期四,4,04:00~05:00,12.535833333333331
114-1,星期四,5,05:00~06:00,13.2175
114-1,星期四,6,06:00~07:00,12.988333333333332
114-1,星期四,7,07:00~08:00,32.13357142857142
114-1,星期四,8,08:00~09:00,42.035714285714285
114-1,星期四,9,09:00~10:00,87.95857142857143
114-1,星期四,10,10:00~11:00,117.30071428571429
114-1,星期四,11,11:00~12:00,126.53357142857143
114-1,星期四,12,12:00~13:00,121.80642857142857
114-1,星期四,13,13:00~14:00,116.67642857142856
114-1,星期四,14,14:00~15:00,131.80066666666664
114-1,星期四,15,15:00~16:00,127.89466666666667
114-1,星期四,16,16:00~17:00,124.20266666666667
114-1,星期四,17,17:00~18:00,100.7726666666667
114-1,星期四,18,18:00~19:00,74.74600000000001
114-1,星期四,19,19:00~20:00,106.14333333333333
114-1,星期四,20,20:00~21:00,101.61799999999998
114-1,星期四,21,21:00~22:00,92.65266666666666
114-1,星期四,22,22:00~23:00,11.63846153846154
114-1,星期四,23,23:00~24:00,11.934
114-1,星期五,0,00:00~01:00,13.562000000000001
114-1,星期五,1,01:00~02:00,13.289285714285715
114-1,星期五,2,02:00~03:00,13.989333333333331
114-1,星期五,3,03:00~04:00,13.668
114-1,星期五,4,04:00~05:00,12.459999999999999
114-1,星期五,5,05:00~06:00,13.430769230769233
114-1,星期五,6,06:00~07:00,12.487142857142855
114-1,星期五,7,07:00~08:00,25.33928571428571
114-1,星期五,8,08:00~09:00,39.750714285714295
114-1,星期五,9,09:00~10:00,67.33214285714287
114-1,星期五,10,10:00~11:00,77.014
114-1,星期五,11,11:00~12:00,84.38933333333333
114-1,星期五,12,12:00~13:00,90.91000000000001
114-1,星期五,13,13:00~14:00,80.40466666666666
114-1,星期五,14,14:00~15:00,92.36533333333334
114-1,星期五,15,15:00~16:00,96.58666666666666
114-1,星期五,16,16:00~17:00,87.02933333333334
114-1,星期五,17,17:00~18:00,66.62333333333335
114-1,星期五,18,18:00~19:00,29.35357142857143
114-1,星期五,19,19:00~20:00,26.762857142857143
114-1,星期五,20,20:00~21:00,19.205000000000005
114-1,星期五,21,21:00~22:00,18.564285714285717
114-1,星期五,22,22:00~23:00,11.748000000000001
114-1,星期五,23,23:00~24:00,11.832
114-1,星期六,0,00:00~01:00,12.590714285714284
114-1,星期六,1,01:00~02:00,13.027857142857144
114-1,星期六,2,02:00~03:00,12.674615384615388
114-1,星期六,3,03:00~04:00,12.830769230769231
114-1,星期六,4,04:00~05:00,13.05
114-1,星期六,5,05:00~06:00,13.267692307692307
114-1,星期六,6,06:00~07:00,13.193076923076923
114-1,星期六,7,07:00~08:00,14.011538461538462
114-1,星期六,8,08:00~09:00,18.145384615384614
114-1,星期六,9,09:00~10:00,23.468461538461536
114-1,星期六,10,10:00~11:00,24.26384615384615
114-1,星期六,11,11:00~12:00,29.70384615384615
114-1,星期六,12,12:00~13:00,31.109999999999996
114-1,星期六,13,13:00~14:00,24.340769230769233
114-1,星期六,14,14:00~15:00,19.536666666666665
114-1,星期六,15,15:00~16:00,19.8475
114-1,星期六,16,16:00~17:00,19.245833333333334
114-1,星期六,17,17:00~18:00,14.853846153846156
114-1,星期六,18,18:00~19:00,12.320769230769232
114-1,星期六,19,19:00~20:00,13.116923076923078
114-1,星期六,20,20:00~21:00,11.534999999999997
114-1,星期六,21,21:00~22:00,11.5325
114-1,星期六,22,22:00~23:00,12.336923076923076
114-1,星期六,23,23:00~24:00,11.655833333333334
114-1,星期日,0,00:00~01:00,12.789166666666668
114-1,星期日,1,01:00~02:00,13.481666666666667
114-1,星期日,2,02:00~03:00,12.9375
114-1,星期日,3,03:00~04:00,14.799999999999999
114-1,星期日,4,04:00~05:00,14.630000000000003
114-1,星期日,5,05:00~06:00,21.11714285714286
114-1,星期日,6,06:00~07:00,20.592307692307696
114-1,星期日,7,07:00~08:00,21.28923076923077
114-1,星期日,8,08:00~09:00,26.326153846153847
114-1,星期日,9,09:00~10:00,31.80153846153846
114-1,星期日,10,10:00~11:00,35.92
114-1,星期日,11,11:00~12:00,37.17076923076923
114-1,星期日,12,12:00~13:00,38.527692307692305
114-1,星期日,13,13:00~14:00,39.49571428571429
114-1,星期日,14,14:00~15:00,25.305384615384614
114-1,星期日,15,15:00~16:00,23.620769230769227
114-1,星期日,16,16:00~17:00,25.51461538461539
114-1,星期日,17,17:00~18:00,21.36076923076923
114-1,星期日,18,18:00~19:00,15.94076923076923
114-1,星期日,19,19:00~20:00,11.668461538461539
114-1,星期日,20,20:00~21:00,11.365384615384617
114-1,星期日,21,21:00~22:00,13.424615384615382
114-1,星期日,22,22:00~23:00,12.292307692307693
114-1,星期日,23,23:00~24:00,12.473846153846154
114-2,星期一,0,00:00~01:00,11.893333333333336
114-2,星期一,1,01:00~02:00,12.121666666666668
114-2,星期一,2,02:00~03:00,11.31
114-2,星期一,3,03:00~04:00,10.505
114-2,星期一,4,04:00~05:00,10.536666666666667
114-2,星期一,5,05:00~06:00,11.848333333333334
114-2,星期一,6,06:00~07:00,11.828333333333333
114-2,星期一,7,07:00~08:00,10.801666666666668
114-2,星期一,8,08:00~09:00,21.777142857142856
114-2,星期一,9,09:00~10:00,46.33142857142857
114-2,星期一,10,10:00~11:00,46.88857142857143
114-2,星期一,11,11:00~12:00,56.97714285714286
114-2,星期一,12,12:00~13:00,60.32714285714285
114-2,星期一,13,13:00~14:00,52.94
114-2,星期一,14,14:00~15:00,63.34571428571428
114-2,星期一,15,15:00~16:00,63.68714285714286
114-2,星期一,16,16:00~17:00,61.54
114-2,星期一,17,17:00~18:00,40.292857142857144
114-2,星期一,18,18:00~19:00,34.91571428571428
114-2,星期一,19,19:00~20:00,39.11
114-2,星期一,20,20:00~21:00,23.434285714285714
114-2,星期一,21,21:00~22:00,22.34
114-2,星期一,22,22:00~23:00,11.28857142857143
114-2,星期一,23,23:00~24:00,10.492857142857144
114-2,星期二,0,00:00~01:00,10.89857142857143
114-2,星期二,1,01:00~02:00,11.531428571428574
114-2,星期二,2,02:00~03:00,11.315714285714284
114-2,星期二,3,03:00~04:00,11.604285714285712
114-2,星期二,4,04:00~05:00,10.186666666666666
114-2,星期二,5,05:00~06:00,11.819999999999999
114-2,星期二,6,06:00~07:00,10.584285714285715
114-2,星期二,7,07:00~08:00,11.545714285714284
