年度學期,星期,小時,時間區間,平均功率_kW
113-2,星期五,7,07:00~08:00,47.48428571428571
113-2,星期五,8,08:00~09:00,107.75071428571428
113-2,星期五,9,09:00~10:00,165.93142857142857
113-2,星期五,10,10:00~11:00,197.5042857142857
113-2,星期五,11,11:00~12:00,200.7492857142857
113-2,星期五,12,12:00~13:00,205.74
113-2,星期五,13,13:00~14:00,181.40428571428575
113-2,星期五,14,14:00~15:00,203.65785714285715
113-2,星期五,15,15:00~16:00,197.7607142857143
113-2,星期五,16,16:00~17:00,178.50214285714287
113-2,星期五,17,17:00~18:00,154.31214285714287
113-2,星期五,18,18:00~19:00,121.83571428571429
113-2,星期五,19,19:00~20:00,100.30285714285715
113-2,星期五,20,20:00~21:00,90.38285714285713
113-2,星期五,21,21:00~22:00,79.48571428571428
113-2,星期五,22,22:00~23:00,55.49769230769231
113-2,星期五,23,23:00~24:00,47.2576923076923
113-2,星期六,0,00:00~01:00,43.49357142857143
113-2,星期六,1,01:00~02:00,42.47923076923076
113-2,星期六,2,02:00~03:00,43.76
113-2,星期六,3,03:00~04:00,43.5323076923077
113-2,星期六,4,04:00~05:00,42.61615384615384
113-2,星期六,5,05:00~06:00,44.831538461538464
113-2,星期六,6,06:00~07:00,43.89615384615384
113-2,星期六,7,07:00~08:00,48.164615384615395
113-2,星期六,8,08:00~09:00,93.27642857142857
113-2,星期六,9,09:00~10:00,85.635
113-2,星期六,10,10:00~11:00,101.06714285714285
113-2,星期六,11,11:00~12:00,94.46846153846153
113-2,星期六,12,12:00~13:00,104.8153846153846
113-2,星期六,13,13:00~14:00,114.76928571428572
113-2,星期六,14,14:00~15:00,115.97357142857143
113-2,星期六,15,15:00~16:00,111.04153846153848
113-2,星期六,16,16:00~17:00,118.5657142857143
113-2,星期六,17,17:00~18:00,104.26285714285713
113-2,星期六,18,18:00~19:00,71.11692307692309
113-2,星期六,19,19:00~20:00,67.92357142857144
113-2,星期六,20,20:00~21:00,60.989999999999995
113-2,星期六,21,21:00~22:00,53.119230769230775
113-2,星期六,22,22:00~23:00,46.45230769230769
113-2,星期六,23,23:00~24:00,45.42214285714285
113-2,星期日,0,00:00~01:00,41.83214285714286
113-2,星期日,1,01:00~02:00,41.59785714285714
113-2,星期日,2,02:00~03:00,42.487857142857145
113-2,星期日,3,03:00~04:00,42.402142857142856
113-2,星期日,4,04:00~05:00,41.47846153846153
113-2,星期日,5,05:00~06:00,44.61785714285715
113-2,星期日,6,06:00~07:00,38.89615384615385
113-2,星期日,7,07:00~08:00,56.918461538461536
113-2,星期日,8,08:00~09:00,91.23785714285714
113-2,星期日,9,09:00~10:00,85.95769230769233
113-2,星期日,10,10:00~11:00,92.31692307692309
113-2,星期日,11,11:00~12:00,91.71153846153844
113-2,星期日,12,12:00~13:00,91.76461538461538
113-2,星期日,13,13:00~14:00,110.59000000000002
113-2,星期日,14,14:00~15:00,103.4423076923077
113-2,星期日,15,15:00~16:00,116.2357142857143
113-2,星期日,16,16:00~17:00,106.87642857142858
113-2,星期日,17,17:00~18:00,81.35538461538461
113-2,星期日,18,18:00~19:00,63.80615384615385
113-2,星期日,19,19:00~20:00,53.66384615384615
113-2,星期日,20,20:00~21:00,52.47846153846155
113-2,星期日,21,21:00~22:00,47.643076923076926
113-2,星期日,22,22:00~23:00,49.900769230769235
113-2,星期日,23,23:00~24:00,44.90285714285715
114-1,星期一,0,00:00~01:00,46.582142857142856
114-1,星期一,1,01:00~02:00,49.569285714285705
114-1,星期一,2,02:00~03:00,44.740714285714276
114-1,星期一,3,03:00~04:00,44.434999999999995
114-1,星期一,4,04:00~05:00,44.90857142857142
114-1,星期一,5,05:00~06:00,44.317142857142855
114-1,星期一,6,06:00~07:00,45.14999999999999
114-1,星期一,7,07:00~08:00,102.83642857142857
114-1,星期一,8,08:00~09:00,140.26666666666668
114-1,星期一,9,09:00~10:00,188.966
114-1,星期一,10,10:00~11:00,222.27866666666668
114-1,星期一,11,11:00~12:00,230.64266666666666
114-1,星期一,12,12:00~13:00,222.79000000000002
114-1,星期一,13,13:00~14:00,221.92333333333335
114-1,星期一,14,14:00~15:00,235.92600000000002
114-1,星期一,15,15:00~16:00,249.64
114-1,星期一,16,16:00~17:00,251.37199999999999
114-1,星期一,17,17:00~18:00,231.53266666666664
114-1,星期一,18,18:00~19:00,148.73266666666666
114-1,星期一,19,19:00~20:00,110.20928571428571
114-1,星期一,20,20:00~21:00,99.00214285714287
114-1,星期一,21,21:00~22:00,93.15733333333334
114-1,星期一,22,22:00~23:00,56.938
114-1,星期一,23,23:00~24:00,50.91785714285714
114-1,星期二,0,00:00~01:00,48.40266666666666
114-1,星期二,1,01:00~02:00,47.872
114-1,星期二,2,02:00~03:00,45.59214285714286
114-1,星期二,3,03:00~04:00,45.40733333333334
114-1,星期二,4,04:00~05:00,46.144285714285715
114-1,星期二,5,05:00~06:00,47.604
114-1,星期二,6,06:00~07:00,44.5
114-1,星期二,7,07:00~08:00,96.49200000000002
114-1,星期二,8,08:00~09:00,150.44466666666668
114-1,星期二,9,09:00~10:00,211.48642857142863
114-1,星期二,10,10:00~11:00,270.53066666666666
114-1,星期二,11,11:00~12:00,283.71999999999997
114-1,星期二,12,12:00~13:00,281.82933333333335
114-1,星期二,13,13:00~14:00,247.12933333333336
114-1,星期二,14,14:00~15:00,272.844
114-1,星期二,15,15:00~16:00,287.7886666666667
114-1,星期二,16,16:00~17:00,274.3293333333333
114-1,星期二,17,17:00~18:00,257.34133333333335
114-1,星期二,18,18:00~19:00,175.39400000000003
114-1,星期二,19,19:00~20:00,130.548
114-1,星期二,20,20:00~21:00,121.99466666666669
114-1,星期二,21,21:00~22:00,96.98933333333333
114-1,星期二,22,22:00~23:00,59.527142857142856
