年度學期,星期,小時,時間區間,平均功率_kW
113-2,星期五,8,08:00~09:00,51.68615384615384
113-2,星期五,9,09:00~10:00,88.37285714285713
113-2,星期五,10,10:00~11:00,99.84285714285714
113-2,星期五,11,11:00~12:00,119.6792857142857
113-2,星期五,12,12:00~13:00,120.40571428571427
113-2,星期五,13,13:00~14:00,107.49642857142855
113-2,星期五,14,14:00~15:00,103.73642857142856
113-2,星期五,15,15:00~16:00,101.63642857142857
113-2,星期五,16,16:00~17:00,87.45785714285715
113-2,星期五,17,17:00~18:00,71.75214285714287
113-2,星期五,18,18:00~19:00,40.39076923076924
113-2,星期五,19,19:00~20:00,34.42846153846154
113-2,星期五,20,20:00~21:00,33.160769230769226
113-2,星期五,21,21:00~22:00,31.623076923076926
113-2,星期五,22,22:00~23:00,31.905384615384612
113-2,星期五,23,23:00~24:00,31.18538461538462
113-2,星期六,0,00:00~01:00,31.023846153846154
113-2,星期六,1,01:00~02:00,31.527692307692313
113-2,星期六,2,02:00~03:00,30.5
113-2,星期六,3,03:00~04:00,29.74076923076923
113-2,星期六,4,04:00~05:00,30.373076923076926
113-2,星期六,5,05:00~06:00,30.17461538461538
113-2,星期六,6,06:00~07:00,30.819999999999997
113-2,星期六,7,07:00~08:00,31.27384615384616
113-2,星期六,8,08:00~09:00,69.825
113-2,星期六,9,09:00~10:00,63.394285714285715
113-2,星期六,10,10:00~11:00,64.04214285714285
113-2,星期六,11,11:00~12:00,69.34214285714286
113-2,星期六,12,12:00~13:00,74.54785714285713
113-2,星期六,13,13:00~14:00,66.15428571428572
113-2,星期六,14,14:00~15:00,66.14428571428572
113-2,星期六,15,15:00~16:00,66.63285714285715
113-2,星期六,16,16:00~17:00,68.76214285714285
113-2,星期六,17,17:00~18:00,47.374615384615375
113-2,星期六,18,18:00~19:00,30.310000000000002
113-2,星期六,19,19:00~20:00,30.908461538461538
113-2,星期六,20,20:00~21:00,31.184615384615388
113-2,星期六,21,21:00~22:00,30.287692307692303
