年度學期,星期,小時,時間區間,平均功率_kW,星期六基礎功率_kW,扣除基礎後功率_kW
113-1,星期五,12,12:00~13:00,154.21999999999997,78.89999999999999,75.31999999999998
113-1,星期五,13,13:00~14:00,148.24846153846153,77.20833333333333,71.0401282051282
113-1,星期五,14,14:00~15:00,152.82461538461538,78.80416666666667,74.02044871794871
113-1,星期五,15,15:00~16:00,144.0415384615385,77.96916666666665,66.07237179487184
113-1,星期五,16,16:00~17:00,121.17461538461538,78.36833333333335,42.806282051282025
113-1,星期五,17,17:00~18:00,99.19076923076922,73.9175,25.273269230769216
113-2,星期一,7,07:00~08:00,33.519333333333336,31.27384615384616,2.2454871794871742
113-2,星期一,8,08:00~09:00,43.82571428571429,69.825,-25.999285714285712
113-2,星期一,9,09:00~10:00,83.532,63.39428571428572,20.137714285714274
113-2,星期一,10,10:00~11:00,95.35533333333336,64.04214285714285,31.313190476190513
113-2,星期一,11,11:00~12:00,106.094,69.34214285714286,36.75185714285713
113-2,星期一,12,12:00~13:00,103.84266666666667,74.54785714285713,29.294809523809548
113-2,星期一,13,13:00~14:00,102.82066666666668,66.15428571428572,36.66638095238096
113-2,星期一,14,14:00~15:00,101.75857142857144,66.14428571428572,35.61428571428573
113-2,星期一,15,15:00~16:00,107.926,66.63285714285715,41.293142857142854
113-2,星期一,16,16:00~17:00,103.08214285714284,68.76214285714285,34.31999999999999
113-2,星期一,17,17:00~18:00,94.62533333333332,47.374615384615375,47.25071794871794
113-2,星期二,7,07:00~08:00,35.84214285714286,31.27384615384616,4.568296703296699
113-2,星期二,8,08:00~09:00,53.65384615384615,69.825,-16.17115384615385
113-2,星期二,9,09:00~10:00,93.93857142857142,63.39428571428572,30.5442857142857
113-2,星期二,10,10:00~11:00,104.68571428571428,64.04214285714285,40.643571428571434
113-2,星期二,11,11:00~12:00,118.56285714285714,69.34214285714286,49.22071428571428
113-2,星期二,12,12:00~13:00,127.17933333333332,74.54785714285713,52.63147619047619
113-2,星期二,13,13:00~14:00,128.152,66.15428571428572,61.99771428571427
113-2,星期二,14,14:00~15:00,142.10466666666667,66.14428571428572,75.96038095238096
113-2,星期二,15,15:00~16:00,138.81533333333334,66.63285714285715,72.1824761904762
113-2,星期二,16,16:00~17:00,128.42133333333334,68.76214285714285,59.65919047619049
113-2,星期二,17,17:00~18:00,113.94599999999998,47.374615384615375,66.5713846153846
113-2,星期三,7,07:00~08:00,33.81285714285715,31.27384615384616,2.539010989010986
113-2,星期三,8,08:00~09:00,55.28928571428572,69.825,-14.535714285714285
113-2,星期三,9,09:00~10:00,98.9707142857143,63.39428571428572,35.57642857142857
113-2,星期三,10,10:00~11:00,114.34214285714286,64.04214285714285,50.30000000000001
113-2,星期三,11,11:00~12:00,116.65071428571429,69.34214285714286,47.308571428571426
113-2,星期三,12,12:00~13:00,121.99071428571428,74.54785714285713,47.44285714285715
