年度學期,星期,小時,時間區間,平均功率_kW,星期六基礎功率_kW,扣除基礎後功率_kW
114-2,星期三,17,17:00~18:00,163.12714285714287,86.74000000000001,76.38714285714286
114-2,星期四,7,07:00~08:00,48.56142857142857,42.76,5.801428571428573
114-2,星期四,8,08:00~09:00,101.78142857142856,92.93571428571428,8.84571428571428
114-2,星期四,9,09:00~10:00,147.84166666666667,95.98428571428572,51.85738095238095
114-2,星期四,10,10:00~11:00,184.1228571428572,101.73142857142857,82.39142857142865
114-2,星期四,11,11:00~12:00,184.70857142857145,89.38857142857144,95.32000000000001
114-2,星期四,12,12:00~13:00,195.93142857142857,93.08833333333332,102.84309523809524
114-2,星期四,13,13:00~14:00,159.0533333333333,85.04166666666667,74.01166666666664
114-2,星期四,14,14:00~15:00,180.48166666666663,95.50666666666666,84.97499999999997
114-2,星期四,15,15:00~16:00,188.21666666666667,94.70166666666668,93.51499999999999
114-2,星期四,16,16:00~17:00,181.59333333333333,80.98166666666667,100.61166666666666
114-2,星期四,17,17:00~18:00,166.7671428571429,86.74000000000001,80.02714285714288
114-2,星期五,7,07:00~08:00,47.38999999999999,42.76,4.6299999999999955
114-2,星期五,8,08:00~09:00,84.58285714285714,92.93571428571428,-8.352857142857147
114-2,星期五,9,09:00~10:00,110.34428571428568,95.98428571428572,14.359999999999957
114-2,星期五,10,10:00~11:00,130.47857142857143,101.73142857142857,28.74714285714286
114-2,星期五,11,11:00~12:00,136.70857142857145,89.38857142857144,47.32000000000001
114-2,星期五,12,12:00~13:00,128.07285714285717,93.08833333333332,34.98452380952385
114-2,星期五,13,13:00~14:00,110.1957142857143,85.04166666666667,25.15404761904763
114-2,星期五,14,14:00~15:00,134.73857142857145,95.50666666666666,39.23190476190479
114-2,星期五,15,15:00~16:00,140.44857142857146,94.70166666666668,45.74690476190477
114-2,星期五,16,16:00~17:00,135.70857142857145,80.98166666666667,54.72690476190478
114-2,星期五,17,17:00~18:00,120.26714285714286,86.74000000000001,33.52714285714285
